recipe_block_id	source_block_id	start_page	end_page	pages	boundary_flag	review_status	title_raw	notes
RB-0001	BLK-0009	page-0186	page-0187	2		OK		
RB-0002	BLK-0010	page-0189	page-0191	3		OK		
RB-0003	BLK-0011	page-0193	page-0211	19		OK		
RB-0004	BLK-0012	page-0214	page-0243	30		OK		
RB-0005	BLK-0013	page-0245	page-0275	31		OK		
RB-0006	BLK-0014	page-0277	page-0333	57		OK		
RB-0007	BLK-0015	page-0335	page-0336	2		OK		
RB-0008	BLK-0016	page-0338	page-0365	28		OK		
RB-0009	BLK-0017	page-0369	page-0401	33		OK		
RB-0010	BLK-0018	page-0403	page-0473	71		OK		
RB-0011	BLK-0019	page-0475	page-0614	140		OK		
RB-0012	BLK-0020	page-0616	page-0642	27		OK		
RB-0013	BLK-0021	page-0645	page-0698	54		OK		
RB-0014	BLK-0022	page-0700	page-0716	17		OK		
RB-0015	BLK-0023	page-0721	page-0748	28		OK		
RB-0016	BLK-0024	page-0751	page-0763	13		OK		
RB-0017	BLK-0025	page-0765	page-0798	34		OK		
RB-0018	BLK-0026	page-0801	page-0900	100		OK		
RB-0019	BLK-0027	page-0902	page-0919	18		OK		
RB-0020	BLK-0028	page-0921	page-0926	6		OK		
RB-0021	BLK-0029	page-0929	page-0978	50		OK		
RB-0022	BLK-0030	page-0980	page-0980	1		OK		
RB-0023	BLK-0031	page-0983	page-1024	42		OK		
RB-0024	BLK-0032	page-1028	page-1049	22		OK		
RB-0025	BLK-0033	page-1051	page-1086	36		OK		
RB-0026	BLK-0034	page-1089	page-1103	15		OK		
RB-0027	BLK-0035	page-1105	page-1144	40		OK		
RB-0028	BLK-0036	page-1150	page-1162	13		OK		
